,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp,sd,dayType,month
486,2015-04-08,Brooklyn,10184,10.395833333333334,8.875,42.416666666666664,33.388888888888886,1026.6374999999998,0.0,0.0,Wday,Apr
487,2015-04-08,Manhattan,54574,10.395833333333334,8.875,42.416666666666664,33.388888888888886,1026.6374999999998,0.0,0.0,Wday,Apr
488,2015-04-08,Queens,5825,10.395833333333334,8.875,42.416666666666664,33.388888888888886,1026.6374999999998,0.0,0.0,Wday,Apr
489,2015-04-08,Staten Island,27,10.395833333333334,8.875,42.416666666666664,33.388888888888886,1026.6374999999998,0.0,0.0,Wday,Apr
490,2015-04-09,Bronx,1023,10.118055555555555,8.950000000000001,38.743055555555564,33.15277777777778,1025.2041666666667,0.045,0.0,Wday,Apr
491,2015-04-09,Brooklyn,10462,10.118055555555555,8.950000000000001,38.743055555555564,33.15277777777778,1025.2041666666667,0.045,0.0,Wday,Apr
492,2015-04-09,Manhattan,58963,10.118055555555555,8.950000000000001,38.743055555555564,33.15277777777778,1025.2041666666667,0.045,0.0,Wday,Apr
493,2015-04-09,Queens,6702,10.118055555555555,8.950000000000001,38.743055555555564,33.15277777777778,1025.2041666666667,0.045,0.0,Wday,Apr
494,2015-04-09,Staten Island,39,10.118055555555555,8.950000000000001,38.743055555555564,33.15277777777778,1025.2041666666667,0.045,0.0,Wday,Apr
495,2015-04-10,Bronx,1235,4.827777777777778,5.202152777777778,44.05416666666667,40.81111111111112,1016.7458333333334,0.01,0.0,Wday,Apr
496,2015-04-10,Brooklyn,12062,4.827777777777778,5.202152777777778,44.05416666666667,40.81111111111112,1016.7458333333334,0.01,0.0,Wday,Apr
497,2015-04-10,Manhattan,60090,4.827777777777778,5.202152777777778,44.05416666666667,40.81111111111112,1016.7458333333334,0.01,0.0,Wday,Apr
498,2015-04-10,Queens,7267,4.827777777777778,5.202152777777778,44.05416666666667,40.81111111111112,1016.7458333333334,0.01,0.0,Wday,Apr
499,2015-04-10,Staten Island,29,4.827777777777778,5.202152777777778,44.05416666666667,40.81111111111112,1016.7458333333334,0.01,0.0,Wday,Apr
500,2015-04-11,Bronx,1555,9.020833333333334,9.416666666666666,54.3125,35.708333333333336,1012.7125000000002,0.0,0.0,Wend,Apr
501,2015-04-11,Brooklyn,17218,9.020833333333334,9.416666666666666,54.3125,35.708333333333336,1012.7125000000002,0.0,0.0,Wend,Apr
502,2015-04-11,Manhattan,55817,9.020833333333334,9.416666666666666,54.3125,35.708333333333336,1012.7125000000002,0.0,0.0,Wend,Apr
503,2015-04-11,Queens,7509,9.020833333333334,9.416666666666666,54.3125,35.708333333333336,1012.7125000000002,0.0,0.0,Wend,Apr
504,2015-04-11,Staten Island,49,9.020833333333334,9.416666666666666,54.3125,35.708333333333336,1012.7125000000002,0.0,0.0,Wend,Apr
505,2015-04-12,Bronx,1223,4.0,10.0,51.208333333333336,25.75,1024.5749999999998,0.0,0.0,Wend,Apr
506,2015-04-12,Brooklyn,15725,4.0,10.0,51.208333333333336,25.75,1024.5749999999998,0.0,0.0,Wend,Apr
507,2015-04-12,Manhattan,44339,4.0,10.0,51.208333333333336,25.75,1024.5749999999998,0.0,0.0,Wend,Apr
508,2015-04-12,Queens,8451,4.0,10.0,51.208333333333336,25.75,1024.5749999999998,0.0,0.0,Wend,Apr
509,2015-04-12,Staten Island,49,4.0,10.0,51.208333333333336,25.75,1024.5749999999998,0.0,0.0,Wend,Apr
510,2015-04-13,Bronx,952,4.083333333333333,10.0,57.25,35.375,1025.7750000000003,0.17333333333333303,0.0,Wday,Apr
511,2015-04-13,Brooklyn,9058,4.083333333333333,10.0,57.25,35.375,1025.7750000000003,0.17333333333333303,0.0,Wday,Apr
512,2015-04-13,Manhattan,38708,4.083333333333333,10.0,57.25,35.375,1025.7750000000003,0.17333333333333303,0.0,Wday,Apr
